STNID,LATITUDE,LONGITUDE
725066-99999,41.4,-70.617
725067-99999,41.667,-70.267
725069-99999,41.683,-69.983
725070-14765,41.723,-71.432
725073-99999,42.067,-70.217
725074-99999,41.583,-71.417
725078-99999,41.45,-71.35000000000001
725079-99999,41.532000000000004,-71.282
725080-14740,41.937,-72.682
725086-99999,41.372,-73.482
725087-14752,41.735,-72.651
725089-99999,41.27,-72.9
725090-14739,42.361000000000004,-71.01
725095-94746,42.271,-71.873
725097-14790,42.15,-70.933
725098-99999,42.183,-71.167
725099-99999,42.58,-70.67
725103-14712,40.373,-75.959
725115-14711,40.196,-76.772
725116-99999,40.117,-76.283
725117-99999,40.133,-80.283
725118-14751,40.218,-76.855
725124-99999,40.777,-79.95
725125-04787,41.179,-78.893
725126-14736,40.300000000000004,-78.31700000000001
725127-04726,40.315,-78.831
725128-99999,40.85,-77.85000000000001
725130-14777,41.333,-75.723
725140-14778,41.243,-76.922
725144-99999,40.433,-76.56700000000001
725145-99999,41.7,-74.8
725150-04725,42.207,-75.98
725155-99999,42.491,-76.467
725156-14748,42.157000000000004,-76.903
725165-99999,43.517,-72.95
725170-14737,40.65,-75.44800000000001
725180-14735,42.747,-73.799
725185-14750,43.35,-73.617
725186-99999,44.682,-75.46600000000001
725190-14771,43.111000000000004,-76.104
725195-99999,43.47,-76.52
725196-14717,43.234,-75.407
725197-94794,43.145,-75.384
725198-99999,41.7,-73.733
725200-94823,40.485,-80.214
725204-99999,40.767,-80.383
725205-14762,40.355000000000004,-79.921
725207-99999,40.267,-79.4
725210-14895,40.918,-81.443
725215-99999,41.47,-82.18
725235-99999,42.153,-79.258
725240-14820,41.406,-81.852
725244-99999,41.684,-81.39
725245-99999,41.517,-81.683
725246-14891,40.82,-82.518
725247-99999,41.567,-81.483
725249-99999,41.550000000000004,-82.73
725250-14852,41.255,-80.674
725260-14860,42.08,-80.182
725266-04751,41.798,-78.635
725267-94868,41.383,-79.867
725280-14733,42.94,-78.736
725283-99999,42.241,-78.371
725285-99999,42.88,-78.88
725287-04724,43.108000000000004,-78.938
725288-99999,43.27,-79.07000000000001
725290-14768,43.117000000000004,-77.675
725295-99999,43.25,-77.60000000000001
725300-94846,41.96,-87.932
725305-99999,41.908,-88.249
725306-14855,42.083,-87.833
725307-99999,42.067,-87.683
725314-99999,38.567,-90.15
725315-99999,40.033,-88.267
725316-99999,39.833,-88.867
725320-14842,40.667,-89.684
725326-99999,41.743,-89.683
725330-14827,40.972,-85.206
725335-99999,40.65,-86.15
725336-99999,40.233000000000004,-85.383
725337-99999,41.617,-87.4
725340-14819,41.784,-87.755
725344-99999,41.72,-87.53
725346-94866,41.867,-87.60000000000001
725347-99999,42.417,-87.867
725350-14848,41.707,-86.316
725354-99999,41.717,-86
725360-94830,41.587,-83.805
725366-14825,41.014,-83.668
725370-94847,42.231,-83.331
725375-14822,42.407000000000004,-83.009
725376-14853,42.237,-83.526
725377-14804,42.608000000000004,-82.818
725378-99999,42.633,-83.983
725384-99999,42.917,-82.533
725385-99999,42.33,-82.97
725386-99999,44.017,-82.783
725387-99999,47.467,-87.883
725390-14836,42.776,-84.60000000000001
725395-14833,42.264,-84.456
725396-14815,42.312,-85.241
725400-99999,40.25,-93.72
725430-94822,42.193,-89.093
725440-14923,41.448,-90.524
725450-14990,41.883,-91.72500000000001
725455-14931,40.783,-91.125
725460-14933,41.534,-93.653
725465-14950,41.101,-92.44500000000001
725466-99999,41.683,-93.55
725470-94908,42.398,-90.709
725473-99999,41.833,-90.333
725480-94910,42.554,-92.401
725485-14940,43.154,-93.32600000000001
725490-99999,42.550000000000004,-94.183
725500-14942,41.312,-95.902
725510-14939,40.848,-96.765
725520-14935,40.961,-98.313
725524-99999,41.617,-98.95
725525-99999,40.605000000000004,-98.428
725526-99999,40.717,-99
725530-94918,41.367,-96.017
725533-99999,40.083,-95.60000000000001
725540-14949,41.117,-95.917
725555-99999,41.433,-99.65
725556-99999,42.579,-100
725560-14941,41.980000000000004,-97.434
725565-99999,41.45,-97.333
725570-14943,42.392,-96.379
725610-24030,41.099000000000004,-102.986
725620-24023,41.122,-100.669
725625-99999,40.2,-100.583
725626-24091,40.511,-101.624
725627-99999,42.050000000000004,-101.07000000000001
725635-99999,42.050000000000004,-102.8
725636-24017,42.837,-103.098
725640-24018,41.158,-104.808
725645-24022,41.317,-105.673
725650-03017,39.847,-104.656
725660-24028,41.875,-103.601
725670-24032,42.859,-100.551
725685-24019,42.75,-105.383
725690-24089,42.898,-106.474
725700-99999,40.5,-107.533
725705-99999,40.441,-109.51
725715-99999,40.483000000000004,-107.217
725716-99999,39.53,-107.8
725717-99999,39.533,-107.733
725720-24127,40.771,-111.965
725724-99999,40.219,-111.723
725744-24027,41.595,-109.053
725745-24057,41.800000000000004,-107.2
725750-24126,41.194,-112.017
